id
aapl
amzn
goog
fb
brk-b
bac
cmcsa
xom
ko
lly
csco
abt
abbv
t
cvx
avgo
acn
cost
bmy
c
amgn
axp
ba
gs
cat
mmm
ge
cvs
mo
gm
gild
cop
fdx
cof
cl
emr
f
fcx
gd
biib
dow
ebay
exc
bk
aep
aig
bax
foxa
hal
dvn
