Date,Open,High,Low,Close,Adj Close,Volume
2019-07-03,189.330002,190.970001,188.100006,190.970001,185.935898,1106900
2019-07-05,189.919998,191.740005,188.25,191.389999,186.344803,2111000
2019-07-08,191.059998,191.139999,189.860001,190.309998,185.293289,1877200
2019-07-09,189.070007,191.149994,189.070007,191.089996,186.052704,1732500
2019-07-10,191.509995,192.089996,190.979996,191.710007,186.656387,1584400
2019-07-11,192.490005,194.669998,192.25,194.669998,189.538361,1922200
2019-07-12,195.0,196.229996,193.820007,196.210007,191.037766,2059400
2019-07-15,196.220001,196.360001,195.080002,195.320007,190.171204,1267000
2019-07-16,195.149994,195.600006,193.380005,194.25,189.12941,1460100
2019-07-17,194.839996,195.110001,193.539993,193.809998,188.701004,1557700
2019-07-18,193.690002,195.639999,193.190002,194.820007,189.684418,1562400
2019-07-19,194.830002,195.960007,193.860001,193.929993,188.817841,1583200
2019-07-22,194.649994,195.399994,194.309998,194.440002,189.314423,1090000
2019-07-23,195.320007,195.5,193.0,194.460007,189.333908,1111800
2019-07-24,194.0,194.550003,192.880005,194.470001,189.343628,1250900
2019-07-25,195.009995,195.600006,193.690002,194.970001,189.830414,1531000
2019-07-26,195.100006,197.029999,194.580002,196.929993,191.73877,1255400
2019-07-29,197.0,197.470001,196.199997,197.350006,192.147675,1319700
2019-07-30,196.369995,197.229996,195.350006,195.649994,190.492523,1143900
2019-07-31,196.059998,196.389999,190.509995,192.580002,187.503464,1566000
2019-08-01,193.330002,197.220001,193.229996,194.160004,189.041794,1837100
2019-08-02,194.470001,194.470001,190.5,193.009995,187.922089,1833100
2019-08-05,189.580002,191.0,184.229996,185.550003,180.658737,2422000
2019-08-06,186.669998,189.559998,186.509995,188.809998,183.832825,2055600
2019-08-07,187.210007,189.360001,184.399994,188.869995,183.891251,2495100
2019-08-08,190.0,194.279999,189.380005,194.179993,189.061279,1804100
2019-08-09,193.610001,193.679993,190.210007,191.479996,186.432419,1831800
2019-08-12,191.479996,191.889999,189.320007,190.0,184.991455,1597200
2019-08-13,188.759995,193.020004,188.759995,192.880005,187.795547,2072000
2019-08-14,190.399994,191.389999,186.809998,186.970001,182.041336,2316500
2019-08-15,187.350006,190.229996,186.699997,189.559998,184.563049,1932600
2019-08-16,191.119995,193.660004,190.470001,193.220001,188.126556,2526900
2019-08-19,195.0,196.289993,194.520004,195.179993,190.034897,1891000
2019-08-20,195.110001,195.979996,193.119995,194.199997,189.08075,1423500
2019-08-21,195.690002,196.839996,195.070007,195.729996,190.570404,1044700
2019-08-22,196.460007,196.970001,194.270004,196.339996,191.164322,1160900
2019-08-23,195.0,197.929993,191.570007,192.809998,187.727386,2290400
2019-08-26,194.339996,195.470001,193.470001,195.470001,190.317261,1641500
2019-08-27,196.020004,197.399994,195.240005,197.160004,191.962708,1632700
2019-08-28,196.889999,197.529999,194.570007,196.839996,191.651138,1326200
2019-08-29,198.0,199.910004,197.440002,198.740005,193.501038,1494200
2019-08-30,200.0,200.679993,196.770004,198.169998,192.946091,2176600
2019-09-03,196.360001,197.759995,195.440002,195.75,190.589859,1696500
2019-09-04,197.830002,198.360001,197.369995,197.710007,192.49823,1250700
2019-09-05,199.800003,199.800003,198.449997,199.490005,194.231293,2216100
2019-09-06,200.0,202.800003,199.039993,201.119995,195.818314,2184100
2019-09-09,200.970001,201.119995,192.839996,194.830002,189.694138,2702800
2019-09-10,192.979996,193.539993,187.889999,189.660004,184.660416,3631000
2019-09-11,190.0,192.470001,189.240005,191.369995,186.325333,2430300
2019-09-12,194.699997,196.229996,191.929993,195.520004,190.365952,2122200
2019-09-13,196.0,196.0,193.960007,194.619995,189.489655,1592600
2019-09-16,193.369995,195.220001,193.009995,194.160004,189.041794,1360000
2019-09-17,193.360001,195.789993,193.360001,194.949997,189.810959,1457800
2019-09-18,194.179993,194.589996,191.539993,194.130005,189.012573,1780500
2019-09-19,194.479996,196.130005,194.220001,194.669998,189.538361,1567900
2019-09-20,195.050003,196.229996,192.449997,193.089996,187.999969,2541000
2019-09-23,192.330002,193.940002,192.009995,192.839996,187.756607,1516300
2019-09-24,194.440002,195.869995,189.779999,190.139999,185.127762,2950200
2019-09-25,191.600006,192.0,188.710007,190.869995,185.838531,2825100
2019-09-26,188.059998,193.339996,187.279999,192.119995,187.055573,3594600
2019-09-27,193.559998,193.580002,190.389999,191.380005,186.335068,2012500
2019-09-30,191.490005,193.350006,191.410004,192.350006,187.27951,2025200
2019-10-01,192.600006,193.369995,189.410004,189.619995,184.62146,2066900
2019-10-02,188.339996,188.649994,182.889999,184.850006,179.977219,2930700
2019-10-03,185.320007,186.089996,182.850006,185.809998,180.911896,2172800
2019-10-04,186.809998,189.820007,186.100006,189.639999,184.640961,1568800
2019-10-07,188.289993,188.699997,186.789993,186.809998,181.885544,1596400
2019-10-08,185.410004,185.720001,182.0,182.199997,177.397064,2200000
2019-10-09,183.789993,185.300003,183.220001,184.339996,179.480652,1683100
2019-10-10,183.830002,184.869995,182.600006,183.830002,178.984085,1999700
2019-10-11,185.710007,187.710007,184.740005,184.970001,180.094055,2381200
2019-10-14,185.360001,186.330002,184.220001,185.5,180.610077,1348400
2019-10-15,185.820007,187.380005,185.559998,187.0,182.070541,1462400
2019-10-16,184.589996,186.990005,184.160004,186.570007,182.432343,1923100
2019-10-17,186.960007,187.330002,185.160004,186.039993,181.914078,1486500
2019-10-18,186.869995,188.130005,186.610001,187.080002,182.931046,2896700
2019-10-21,186.949997,187.539993,185.389999,187.339996,183.185242,1344700
2019-10-22,187.270004,188.110001,182.339996,182.720001,178.667709,1752100
2019-10-23,182.389999,184.839996,181.970001,184.070007,179.987793,2263000
2019-10-24,185.050003,187.020004,184.649994,185.0,180.897156,2008700
2019-10-25,184.669998,184.830002,183.020004,183.070007,179.009964,1389200
2019-10-28,184.410004,185.929993,182.559998,182.869995,178.814377,1832700
2019-10-29,182.550003,185.75,182.369995,184.800003,180.701599,1554000
2019-10-30,185.149994,187.039993,184.289993,186.580002,182.442108,1243300
2019-10-31,186.160004,188.059998,184.339996,185.419998,181.307831,1574800
2019-11-01,186.699997,188.350006,186.110001,188.220001,184.045731,1502100
2019-11-04,188.509995,189.169998,187.389999,187.800003,183.635056,1144500
2019-11-05,188.0,188.0,185.479996,186.880005,182.735458,1536600
2019-11-06,186.990005,189.270004,186.910004,189.229996,185.03334,1652200
2019-11-07,189.309998,190.199997,188.669998,189.089996,184.896423,1676800
2019-11-08,188.660004,189.710007,188.270004,189.699997,185.492905,1282400
2019-11-11,188.759995,190.460007,188.550003,190.059998,185.844925,1167000
2019-11-12,190.169998,191.649994,189.869995,191.429993,187.18454,1522800
2019-11-13,191.149994,194.770004,190.490005,194.5,190.186478,1817700
2019-11-14,194.0,196.410004,193.830002,196.25,191.897644,1672900
2019-11-15,195.899994,197.559998,195.809998,196.809998,192.445206,2426200
2019-11-18,197.429993,198.949997,196.759995,198.020004,193.628387,1561000
2019-11-19,198.199997,198.75,197.389999,198.339996,193.941315,1342200
2019-11-20,198.729996,199.759995,196.770004,197.710007,193.325272,1477300
2019-11-21,197.419998,197.929993,196.139999,196.779999,192.415894,1217400
2019-11-22,198.050003,198.419998,195.100006,196.660004,192.298569,1117900
2019-11-25,197.639999,198.380005,197.399994,198.360001,193.960861,1951900
2019-11-26,198.360001,201.0,197.770004,200.919998,196.464066,2324500
2019-11-27,200.539993,201.360001,199.190002,201.25,196.786758,1205000
2019-11-29,201.240005,201.660004,200.0,201.160004,196.698761,750600
2019-12-02,201.440002,201.690002,198.050003,199.589996,195.163589,1262300
2019-12-03,197.539993,199.289993,196.470001,198.75,194.342194,1243600
2019-12-04,199.759995,200.389999,199.240005,199.580002,195.153793,1221800
